house_type,house_size,city,latitude,longitude,price,currency,numBathrooms,numBalconies,Status
1 BHK Independent Floor ,600 sq ft,Delhi,28.53482056,77.25739288,23000,INR,1.0,,Furnished
4 BHK Independent Floor ,"2,800 sq ft",Delhi,28.55844879,77.20293427,145000,INR,4.0,,Semi-Furnished
2 BHK Independent Floor ,"1,500 sq ft",Delhi,28.55844879,77.20293427,40000,INR,2.0,,Semi-Furnished
2 BHK Independent Floor ,"1,700 sq ft",Delhi,28.55907249,77.20407104,50000,INR,2.0,,Semi-Furnished
2 BHK Independent Floor ,"1,500 sq ft",Delhi,28.55844879,77.20293427,50000,INR,2.0,,Semi-Furnished
3 BHK Independent Floor ,"1,800 sq ft",Delhi,28.55068588,77.20052338,100000,INR,3.0,,Furnished
3 BHK Independent Floor ,"2,350 sq ft",Delhi,28.54448891,77.2288208,85000,INR,3.0,,Semi-Furnished
3 BHK Independent Floor ,"1,800 sq ft",Delhi,28.53393173,77.20658875,55000,INR,2.0,,Semi-Furnished
3 BHK Independent Floor ,"1,500 sq ft",Delhi,28.55016518,77.19645691,75000,INR,2.0,,Semi-Furnished
2 BHK Independent Floor ,"1,400 sq ft",Delhi,28.55016518,77.19645691,47000,INR,2.0,,Semi-Furnished
3 BHK Independent Floor ,"2,400 sq ft",Delhi,28.54448891,77.2288208,90000,INR,3.0,,Semi-Furnished
3 BHK Independent Floor ,"1,800 sq ft",Delhi,28.55068588,77.20052338,110000,INR,3.0,,Semi-Furnished
3 BHK Independent Floor ,"1,800 sq ft",Delhi,28.55844879,77.20293427,95000,INR,3.0,,Semi-Furnished
2 BHK Independent Floor ,"1,500 sq ft",Delhi,28.55068588,77.20052338,63000,INR,2.0,,Semi-Furnished
2 BHK Independent Floor ,"1,600 sq ft",Delhi,28.55068588,77.20052338,65000,INR,2.0,,Semi-Furnished
1 BHK Independent Floor ,"1,200 sq ft",Delhi,28.55550957,77.20198822,50000,INR,1.0,,Furnished
2 BHK Independent Floor ,"1,600 sq ft",Delhi,28.55068588,77.20052338,65000,INR,2.0,,Semi-Furnished
1 BHK Independent Floor ,"1,200 sq ft",Delhi,28.55550957,77.20198822,50000,INR,1.0,,Furnished
3 BHK Independent Floor ,"1,800 sq ft",Delhi,28.69317627,77.13703156,60000,INR,3.0,,Furnished
3 BHK Independent Floor ,"1,800 sq ft",Delhi,28.69420052,77.1365509,50000,INR,3.0,,Semi-Furnished
3 BHK Independent Floor ,"1,800 sq ft",Delhi,28.6989975,77.1384201,48000,INR,3.0,,Furnished
3 BHK Independent House ,"1,800 sq ft",Delhi,28.69488335,77.11443329,65000,INR,3.0,,Semi-Furnished
3 BHK Independent Floor ,"3,600 sq ft",Delhi,28.57263374,77.23251343,200000,INR,3.0,,Semi-Furnished
4 BHK Independent Floor ,"2,925 sq ft",Delhi,28.57263374,77.23251343,230000,INR,4.0,,Semi-Furnished
3 BHK Independent Floor ,"2,200 sq ft",Delhi,28.57698059,77.23122406,100000,INR,2.0,,Unfurnished
3 BHK Independent Floor ,"2,200 sq ft",Delhi,28.57698059,77.23122406,100000,INR,2.0,,Unfurnished
3 BHK Independent Floor ,"1,800 sq ft",Delhi,28.5669384,77.23937225,95000,INR,3.0,,Semi-Furnished
6 BHK Independent Floor ,"7,200 sq ft",Delhi,28.54150009,77.21615601,400000,INR,6.0,,Semi-Furnished
2 BHK Independent Floor ,"1,050 sq ft",Delhi,28.6752224,77.18372345,24000,INR,2.0,,Semi-Furnished
3 BHK Independent Floor ,"2,200 sq ft",Delhi,28.58775711,77.21530914,270000,INR,4.0,,Semi-Furnished
4 BHK Independent Floor ,"2,700 sq ft",Delhi,28.56001091,77.20487976,120000,INR,4.0,,Semi-Furnished
4 BHK Independent Floor ,"2,700 sq ft",Delhi,28.57263374,77.23251343,190000,INR,4.0,,Semi-Furnished
3 BHK Independent Floor ,"1,900 sq ft",Delhi,28.55195999,77.23581696,80000,INR,3.0,,Semi-Furnished
3 BHK Independent Floor ,"3,500 sq ft",Delhi,28.59951973,77.23078156,250000,INR,3.0,,Semi-Furnished
4 BHK Independent Floor ,"2,700 sq ft",Delhi,28.56470108,77.19415283,150000,INR,4.0,,Furnished
3 BHK Independent Floor ,"2,700 sq ft",Delhi,28.55195999,77.23581696,120000,INR,3.0,,Furnished
4 BHK Independent Floor ,"2,700 sq ft",Delhi,28.55016518,77.19645691,150000,INR,5.0,,Semi-Furnished
4 BHK Independent Floor ,"5,400 sq ft",Delhi,28.56495285,77.15753937,250000,INR,5.0,,Furnished
4 BHK Independent Floor ,"3,500 sq ft",Delhi,28.55068588,77.20052338,190000,INR,4.0,,Furnished
3 BHK Independent Floor ,"3,000 sq ft",Delhi,28.56525612,77.22035217,140000,INR,3.0,,Semi-Furnished
3 BHK Independent Floor ,"2,000 sq ft",Delhi,28.54448891,77.2288208,110000,INR,4.0,,Semi-Furnished
3 BHK Independent Floor ,"2,700 sq ft",Delhi,28.58775711,77.21530914,300000,INR,4.0,,Semi-Furnished
